Country/Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious/Critical;Tot Cases/1M pop;Deaths/1M pop;Total Tests;Tests/1M pop;Population
Hungary;3,793;22;505;6;1,856;1,432;25;393;52;169,960;17,589;9,662,589
Tajikistan;3,424;158;47;;1,575;1,802;;360;5;;;9,515,224
Uzbekistan;3,355;65;14;;2,668;673;4;100;0.4;460,000;13,764;33,420,567
Guinea;3,275;;20;;1,673;1,582;24;250;2;14,407;1,100;13,094,574
Senegal;3,253;92;38;2;1,586;1,629;18;195;2;37,547;2,249;16,696,778
Thailand;3,054;9;57;;2,931;66;59;44;0.8;375,453;5,380;69,783,536
Greece;2,903;11;173;;1,374;1,356;17;278;17;166,245;15,943;10,427,639
Djibouti;2,697;229;18;4;1,185;1,494;;2,734;18;23,140;23,455;986,559
DRC;2,546;143;68;;365;2,113;;29;0.8;;;89,264,128
Ivory Coast;2,477;;30;;1,286;1,161;;94;1;25,099;954;26,309,063
Bulgaria;2,460;17;133;3;912;1,415;22;354;19;76,391;10,987;6,953,085
Bosnia and Herzegovina;2,435;19;151;2;1,744;540;4;742;46;61,111;18,616;3,282,643
Croatia;2,244;;101;;2,047;96;6;546;25;64,266;15,646;4,107,530
Gabon;2,238;;14;;593;1,631;11;1,008;6;11,340;5,108;2,220,204
El Salvador;2,109;67;37;1;873;1,199;29;325;6;79,711;12,295;6,483,089
North Macedonia;2,039;25;119;3;1,470;450;21;979;57;26,463;12,702;2,083,382
Cuba;1,974;11;82;;1,724;168;4;174;7;97,003;8,564;11,327,254
Estonia;1,840;6;66;1;1,561;213;;1,387;50;79,605;60,013;1,326,452
Iceland;1,805;1;10;;1,792;3;;5,293;29;59,613;174,803;341,030
Somalia;1,731;20;67;;265;1,399;2;109;4;;;15,845,450
Lithuania;1,647;8;66;1;1,184;397;17;604;24;281,232;103,184;2,725,537
Mayotte;1,634;;20;;894;720;11;6,005;73;5,200;19,109;272,120
Kyrgyzstan;1,520;52;16;;1,043;461;4;233;2;105,815;16,246;6,513,284
Slovakia;1,515;2;28;;1,327;160;1;278;5;163,362;29,923;5,459,397
New Zealand;1,504;;21;;1,462;21;;301;4;267,435;53,465;5,002,100
Slovenia;1,471;2;108;;1,354;9;2;708;52;77,947;37,494;2,078,912
Kenya;1,471;123;55;3;408;1,008;7;27;1;67,341;1,255;53,647,618
Maldives;1,457;19;5;;197;1,255;9;2,700;9;11,775;21,823;539,573
Sri Lanka;1,453;134;10;;732;711;1;68;0.5;57,327;2,678;21,404,741
Venezuela;1,211;;11;;302;898;2;43;0.4;865,367;30,424;28,443,280
Guinea-Bissau;1,195;17;7;;42;1,146;;609;4;1,500;764;1,963,102
Haiti;1,174;111;33;2;22;1,119;;103;3;3,475;305;11,388,764
Lebanon;1,161;21;26;;692;443;3;170;4;77,488;11,348;6,828,204
Mali;1,116;39;70;;632;414;;55;3;3,483;173;20,187,688
Hong Kong;1,067;1;4;;1,034;29;1;142;0.5;202,930;27,090;7,491,091
Latvia;1,057;4;23;1;741;293;3;560;12;103,553;54,848;1,888,011
Zambia;1,057;137;7;;779;271;1;58;0.4;24,275;1,324;18,328,453
Tunisia;1,051;;48;;929;74;2;89;4;49,113;4,160;11,806,488
Albania;1,050;21;33;;812;205;3;365;11;13,768;4,784;2,878,086
Equatorial Guinea;1,043;;12;;165;866;;746;9;854;611;1,397,887
South Sudan;994;188;10;2;6;978;;89;0.9;3,356;300;11,180,763
Costa Rica;956;;10;;634;312;2;188;2;23,703;4,657;5,089,588
Niger;952;;63;;796;93;;39;3;5,989;248;24,108,004
Cyprus;939;;17;;594;328;10;778;14;106,028;87,880;1,206,512
Nepal;886;114;4;;183;699;;30;0.1;158,564;5,452;29,083,261
Paraguay;884;7;11;;392;481;;124;2;26,760;3,756;7,123,858
Burkina Faso;845;13;53;1;672;120;;41;3;;;20,841,675
Uruguay;789;;22;;638;129;5;227;6;39,469;11,366;3,472,594
Sierra Leone;782;28;45;1;297;440;;98;6;;;7,960,197
Andorra;763;;51;;676;36;3;9,877;660;3,750;48,542;77,253
Nicaragua;759;;35;;370;354;;115;5;;;6,616,762
Georgia;735;3;12;;557;166;6;184;3;50,208;12,584;3,989,868
Ethiopia;731;30;6;;181;544;1;6;0.05;91,616;799;114,661,849
Jordan;720;2;9;;586;125;5;71;0.9;167,892;16,471;10,193,227
Chad;715;15;64;2;359;292;;44;4;;;16,374,868
Diamond Princess;712;;13;;651;48;4;;;;;0
CAR;671;;1;;22;648;;139;0.2;11,570;2,400;4,821,214
San Marino;667;1;42;;294;331;;19,662;1,238;4,079;120,239;33,924
Malta;612;1;7;1;491;114;1;1,386;16;64,334;145,739;441,433
Madagascar;612;26;2;;151;459;10;22;0.07;9,681;351;27,615,210
Jamaica;564;8;9;;267;288;1;191;3;10,570;3,571;2,959,941
Channel Islands;560;1;45;;512;3;;3,224;259;10,255;59,036;173,707
Tanzania;509;;21;;183;305;7;9;0.4;;;59,550,338
Congo;487;;16;;147;324;;88;3;;;5,503,707
Réunion;460;1;1;;411;48;1;514;1;17,200;19,224;894,697
Sao Tome and Principe;441;;12;;68;361;;2,016;55;175;800;218,742
Taiwan;441;;7;;419;15;;19;0.3;71,405;2,999;23,812,744
Palestine;434;5;3;;365;66;;85;0.6;44,876;8,818;5,088,950
Togo;391;;13;;177;201;;47;2;17,501;2,119;8,258,310
